date,month,value,type,mean,stdev,anom
01/03/2018,3.00,0.935316264,no correction,1.192007919,0.188399557,-1.362485448
09/03/2018,3.00,0.848517717,no correction,1.192007919,0.188399557,-1.823200689
19/03/2018,3.00,0.776349179,no correction,1.192007919,0.188399557,-2.206261768
27/03/2018,3.00,0.708852958,no correction,1.192007919,0.188399557,-2.564522809
04/04/2018,4.00,0.635051273,no correction,1.045748782,0.162939554,-2.520551333
14/05/2018,5.00,0.536308143,no correction,0.939584997,0.125073075,-3.224329888
26/07/2018,7.00,0.657432694,no correction,0.89647801,0.124188384,-1.924860509
26/06/2018,6.00,0.568149906,no correction,0.819475172,0.131552327,-1.910458531
17/08/2018,8.00,0.765281427,no correction,1.010118829,0.139559792,-1.754354887
06/07/2018,7.00,0.609234563,no correction,0.89647801,0.124188384,-2.312965501
12/09/2018,9.00,0.871288048,no correction,1.180670926,0.153433391,-2.016398624
27/09/2018,9.00,0.925697458,no correction,1.180670926,0.153433391,-1.661786047
10/08/2018,8.00,0.709031414,no correction,1.010118829,0.139559792,-2.157408027
28/08/2018,8.00,0.809938662,no correction,1.010118829,0.139559792,-1.434368486
22/11/2018,11.00,0.928195849,no correction,1.326105077,0.214325315,-1.856566636
26/10/2018,10.00,0.98065813,no correction,1.307276418,0.141419388,-2.309572206
25/01/2014,1.00,1.461581921,no correction,1.455232149,0.163730433,0.038781869
28/01/2016,1.00,1.323728814,no correction,1.455232149,0.163730433,-0.803169775
25/01/2018,1.00,1.022033898,no correction,1.455232149,0.163730433,-2.64580165
04/06/2017,6.00,0.636723164,no correction,0.819475172,0.131552327,-1.389196314
08/10/2017,10.00,0.921468927,no correction,1.307276418,0.141419388,-2.728108903
07/11/2017,11.00,0.883050847,no correction,1.326105077,0.214325315,-2.067204383
23/12/2017,12.00,0.98700565,no correction,1.34117191,0.174417511,-2.030565962
29/01/2007,1.00,1.682608342,with correction,1.455232149,0.163730433,1.388722846
11/02/2007,2.00,1.590685936,with correction,1.372807156,0.12594535,1.729947002
22/02/2007,2.00,1.524478567,with correction,1.372807156,0.12594535,1.204263687
05/03/2007,3.00,1.444530046,with correction,1.192007919,0.188399557,1.340354145
27/03/2007,3.00,1.377906279,with correction,1.192007919,0.188399557,0.986723975
08/04/2007,4.00,1.308992319,with correction,1.045748782,0.162939554,1.615590141
19/04/2007,4.00,1.23154219,with correction,1.045748782,0.162939554,1.140259703
27/04/2007,4.00,1.147637883,with correction,1.045748782,0.162939554,0.625318395
11/05/2007,5.00,1.073518942,with correction,0.939584997,0.125073075,1.07084554
30/06/2007,6.00,0.99669341,with correction,0.819475172,0.131552327,1.347131149
28/05/2007,5.00,0.953955885,with correction,0.939584997,0.125073075,0.11489993
14/08/2007,8.00,0.956788549,with correction,1.010118829,0.139559792,-0.382132125
05/09/2007,9.00,1.016472341,with correction,1.180670926,0.153433391,-1.070162005
14/09/2007,9.00,1.089342086,with correction,1.180670926,0.153433391,-0.595234447
22/09/2007,9.00,1.171580799,with correction,1.180670926,0.153433391,-0.059244776
06/10/2007,10.00,1.287131396,with correction,1.307276418,0.141419388,-0.142448799
01/10/2007,10.00,1.213428853,with correction,1.307276418,0.141419388,-0.663611729
16/10/2007,10.00,1.356461754,with correction,1.307276418,0.141419388,0.347797687
20/10/2007,10.00,1.424542916,with correction,1.307276418,0.141419388,0.829210903
03/11/2007,11.00,1.490000767,with correction,1.326105077,0.214325315,0.764705235
26/12/2007,12.00,1.572210907,with correction,1.34117191,0.174417511,1.324631892
19/01/2008,1.00,1.490333886,with correction,1.455232149,0.163730433,0.214387374
01/02/2008,2.00,1.43203809,with correction,1.372807156,0.12594535,0.470290757
16/02/2008,2.00,1.373325895,with correction,1.372807156,0.12594535,0.004118761
11/03/2008,3.00,1.308992319,with correction,1.192007919,0.188399557,0.620937768
30/03/2008,3.00,1.253819512,with correction,1.192007919,0.188399557,0.328087783
08/04/2008,4.00,1.200936897,with correction,1.045748782,0.162939554,0.952427514
16/04/2008,4.00,1.147221484,with correction,1.045748782,0.162939554,0.622762855
27/04/2008,4.00,1.083512507,with correction,1.045748782,0.162939554,0.231765236
11/05/2008,5.00,1.016472341,with correction,0.939584997,0.125073075,0.614739373
02/06/2008,6.00,0.952706689,with correction,0.819475172,0.131552327,1.012764424
28/07/2008,7.00,1.037292268,with correction,0.89647801,0.124188384,1.133876241
07/08/2008,8.00,1.097253659,with correction,1.010118829,0.139559792,0.624354828
23/08/2008,8.00,1.176785781,with correction,1.010118829,0.139559792,1.194233311
08/09/2008,9.00,1.292128178,with correction,1.180670926,0.153433391,0.726421098
05/09/2008,9.00,1.234665179,with correction,1.180670926,0.153433391,0.351906795
19/09/2008,9.00,1.364581525,with correction,1.180670926,0.153433391,1.198634783
05/10/2008,10.00,1.447861235,with correction,1.307276418,0.141419388,0.99409861
14/11/2008,11.00,1.506989828,with correction,1.326105077,0.214325315,0.843972869
09/01/2009,1.00,1.563317195,with correction,1.455232149,0.163730433,0.660140233
17/02/2009,2.00,1.511153814,with correction,1.372807156,0.12594535,1.098465787
05/03/2009,3.00,1.445154644,with correction,1.192007919,0.188399557,1.343669428
12/03/2009,3.00,1.392063829,with correction,1.192007919,0.188399557,1.061870386
20/03/2009,3.00,1.329604047,with correction,1.192007919,0.188399557,0.730342102
27/03/2009,3.00,1.265270472,with correction,1.192007919,0.188399557,0.388867969
09/04/2009,4.00,1.204059886,with correction,1.045748782,0.162939554,0.971594064
22/04/2009,4.00,1.148720519,with correction,1.045748782,0.162939554,0.631962799
07/05/2009,5.00,1.086427297,with correction,0.939584997,0.125073075,1.174052045
24/05/2009,5.00,1.015223145,with correction,0.939584997,0.125073075,0.604751647
26/06/2009,6.00,0.977330877,with correction,0.819475172,0.131552327,1.199946126
25/07/2009,7.00,1.098502854,with correction,0.89647801,0.124188384,1.626761199
07/08/2009,8.00,1.185946549,with correction,1.010118829,0.139559792,1.259873765
23/08/2009,8.00,1.257650379,with correction,1.010118829,0.139559792,1.773659496
09/09/2009,9.00,1.342928801,with correction,1.180670926,0.153433391,1.057513452
23/09/2009,9.00,1.416423144,with correction,1.180670926,0.153433391,1.536511817
