system:index,CEC,IntraVarMaxTemp,IntraVarPPT,MAP,MAPVariance,MAT,MATMax,MatMaxVar,PPTSeasonality,SIF2015_mean,Sand,WaterTableDepth,constant,mcwd2015,ppt2015_mean,temp2015_mean,Long,Lat
27,15,2.321999786,134.4432408,2187.796423,370.9650217,298.1742,307.76526,0.481761169,0.543744894,-0.861741293,33,-35.43438,0,0.412971468,-0.017910557,0.584558564,-66.69990985,-15.49593865
28,10,1.6407717,99.15065257,1499.456523,195.9434368,297.96884,305.95337,0.360161484,0.579619929,-0.10478627,40,-17.198458,0,-3.844215577,-0.87233215,0.998190039,-63.10664871,-15.49593865
29,9,1.817329397,97.23555888,1463.178614,225.1716983,297.48462,306.07028,0.444335217,0.57995688,-1.82822441,47,-38.095734,0,-3.364595985,-0.64347017,1.705564852,-62.65749107,-15.49593865
30,8,1.919518525,91.20811848,1366.395475,183.5926844,297.7348,306.467,0.424343525,0.578518534,-0.792016826,50,-40.339092,0,-19.98341221,-0.729644713,2.046841987,-62.20833343,-15.49593865
31,8,1.945771824,83.23265622,1273.596373,169.5187639,297.78162,306.60352,0.408575047,0.583575111,-0.527193331,51,-29.155197,0,-2.092127676,-0.807187394,2.037579816,-61.75917578,-15.49593865
32,8,1.925895978,80.08927727,1183.866803,146.7612624,297.92725,306.94122,0.375169146,0.595221161,-0.44528405,49,-27.461744,0,-1.757991968,-1.069459746,1.962642763,-61.31001814,-15.49593865
33,16,1.315395739,93.98827838,1487.706412,163.3959513,292.7728,301.26068,0.209620893,0.556139106,-0.235498289,45,-31.34819,0,-0.114704303,-0.039529691,0.88484621,-68.04738277,-15.04678101
34,15,1.71254102,106.4084887,1787.308663,252.9867224,295.47324,303.89014,0.278551959,0.541265651,-0.648342487,41,-19.027664,0,0.81185634,-0.200038374,0.834031005,-67.59822513,-15.04678101
35,13,1.986441507,114.6432694,1961.084634,286.6692395,296.8133,306.08716,0.359364529,0.531356432,0.628695062,41,-14.816438,0,0.423642968,-0.486697195,0.864900618,-67.14906749,-15.04678101
36,12,1.983482427,132.1356187,2163.818338,354.3816658,298.56094,308.0997,0.421454399,0.519868905,-0.783467239,25,-4.697995,0,0.441421485,-0.611891962,0.81089789,-66.2507522,-15.04678101
37,10,1.729340668,109.1006489,1626.269826,228.525209,298.18124,306.88794,0.363046923,0.603956284,-1.212897709,53,-10.041994,0,-1.416264777,-0.969419493,0.966328133,-63.55580635,-15.04678101
38,9,1.660479752,97.47534394,1514.144289,207.6989428,297.8673,305.87784,0.402553755,0.579781309,-0.10478627,48,-20.250563,0,-1.511185898,-0.798898291,1.32136632,-63.10664871,-15.04678101
39,9,1.836006281,96.86682546,1470.820225,184.509569,297.81384,306.46243,0.39511008,0.570648578,-1.82822441,48,-18.634348,0,-3.491140792,-0.701348005,1.884045056,-62.65749107,-15.04678101
40,9,1.876649076,91.89634119,1381.816289,146.0801,297.85034,306.607,0.355020387,0.589839197,-0.792016826,50,-16.97876,0,-19.3220803,-0.701626144,2.121847578,-62.20833343,-15.04678101
41,7,1.90734349,86.75005745,1304.235142,149.191752,297.87164,306.74606,0.411878681,0.602006587,-0.527193331,53,-15.274591,0,-2.644754175,-0.757806488,2.07423255,-61.75917578,-15.04678101
42,6,1.917606914,85.85061906,1259.655408,123.1651297,298.04706,307.02637,0.370460284,0.619030539,-0.44528405,52,-14.1749735,0,-1.783340958,-1.248197656,1.85504264,-61.31001814,-15.04678101
43,7,2.055717325,85.34117175,1223.626328,154.5076513,299.01498,308.19583,0.389934358,0.627265127,-0.722303617,53,-11.787773,0,-1.652910294,-1.004892884,1.616915017,-60.8608605,-15.04678101
44,9,1.707013733,93.65258772,1301.844787,165.0341482,297.78595,306.97015,0.294682911,0.647356748,-0.507779479,54,-12.27125,0,-0.961413599,-1.283578288,2.013599674,-60.41170286,-15.04678101
45,20,1.190461772,77.80611347,1287.023151,163.6075197,286.47134,293.9594,0.186602123,0.534289212,0.509345979,40,-35.404972,0,-1.40911647,-0.537880568,1.002317755,-68.94569806,-14.59762337
46,13,1.261003628,101.4682417,1650.058489,191.5253688,291.7542,299.45578,0.225999803,0.526404863,-0.250323907,45,-29.467987,0,-9.174123025,-1.085086928,0.94594149,-68.04738277,-14.59762337
47,11,1.84703468,110.8416777,1913.821557,303.7976547,297.498,306.07626,0.321691759,0.500323685,-0.607354487,41,-14.390192,0,-0.207016843,-0.900028809,1.325701069,-67.59822513,-14.59762337
