fitted_values,original_values
-0.38501009,-0.301274197
0.027265055,0.115497518
1.532034036,0.429682618
0.771579205,0.429682618
0.821801515,-0.754380619
1.518800921,1.240772707
1.50244758,-0.467457862
0.523120935,0.002179739
0.485168132,0.975136555
1.402470301,-0.516893358
1.165980574,1.667075124
-0.137367504,0.179223318
1.666136511,0.614448634
1.410060077,0.958270205
-0.088581223,0.144622228
-0.319290365,-0.514471472
1.846532447,0.766243309
1.680592977,-0.193431427
1.450370821,-0.485644501
1.358735498,-0.011348507
0.400169605,0.157442362
-0.085398257,-0.753061317
-0.157810025,0.125564522
2.063437737,-0.235498289
1.760127517,-0.235498289
1.26289829,-0.648342487
1.040079058,0.628695062
0.972259162,-0.861741293
0.432527255,-0.10478627
0.942026493,-1.82822441
1.133980989,-0.792016826
0.832495031,-0.527193331
0.869262145,-0.44528405
1.500379059,-0.235498289
0.787398708,-0.648342487
0.344675517,0.628695062
-0.181031054,-0.783467239
0.178718561,-1.212897709
0.396212134,-0.10478627
0.534418588,-1.82822441
0.736898135,-0.792016826
0.438050818,-0.527193331
0.379047898,-0.44528405
0.315855678,-0.722303617
0.629029955,-0.507779479
1.461211223,0.509345979
0.793233308,-0.250323907
0.137445331,-0.607354487
-0.175627812,-0.638554591
-0.00395132,0.33859382
0.186203234,-0.699363369
0.228122834,-0.633105636
0.283974465,-0.753089973
0.324216007,-0.651439111
0.731735996,-0.419290023
0.469202823,-0.606446198
0.466826629,-0.648581185
0.863856349,-0.690149931
1.186867451,0.711281463
0.617550816,0.158327485
0.271485857,0.158327485
-0.258287877,-0.319734978
-0.078867955,-0.782508824
0.173945115,-0.072068748
0.271193834,-0.135626247
0.155095611,-0.240143013
0.433613438,0.079971735
0.426484202,-0.395704033
0.684870514,-1.777283543
0.353992463,-0.506672616
0.40561373,-0.692709531
0.583897899,-0.158400449
1.024721016,0.149075095
1.283666317,0.69761563
1.468085617,0.131036467
0.880857241,-0.027483311
0.653360605,-1.202256629
0.38678359,0.253545604
-0.287695653,-1.191150404
-0.037577865,-0.387643426
0.491457488,-0.61778766
0.705106635,1.282676145
0.481956714,-0.699544543
0.377425492,0.081958546
0.561067431,-0.92634749
1.679085066,-1.352219058
1.198344099,-0.537200107
0.767225951,-0.317439424
0.199362261,0.125921943
0.424426368,-0.229588139
-0.000416684,-0.74988541
0.032469076,-1.138680827
0.168807091,-1.593168895
0.211039464,-0.328967315
0.27866703,0.158185821
0.513247283,0.026494518
0.708254843,-0.788641661
0.693069455,-0.086182656
0.575570425,-0.068726514
0.642445132,0.034751439
2.592708837,0.199673594
2.178396909,-0.294703573
2.376127802,-0.294703573
1.26726083,-0.160169979
0.680810545,0.215091796
0.102373979,0.315182174
0.141489511,-0.038091508
0.195486112,-0.200416572
0.329025088,-0.789538156
0.162753646,-1.306115879
0.41696525,0.704835834
0.632939901,-0.521417246
0.596763092,-0.563596241
0.282137364,-0.772569075
0.169043871,-0.411237281
0.169994934,-1.153716189
0.041603173,-1.434360503
0.007992273,-2.069342748
2.226370865,-0.299600366
2.208581253,1.44268413
2.114304779,-0.66719377
1.774832628,2.40706095
1.203595275,-0.225121291
0.810886376,-0.559944118
0.015506145,-1.10626835
0.017368267,-1.60146536
0.381076516,-0.418398628
0.606652544,-1.503516951
0.484600368,-0.743504316
0.498607143,-0.743504316
0.333262425,-0.79205598
0.369945471,-1.217697122
0.200528613,-1.189804876
0.265120256,-0.752147382
0.457879491,-0.842634802
0.374607902,-0.422472754
